RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
Aaurĩm, The Great Dream, A+N, ᙮ᐊᐤᕇᒻ, ?
Aaurin, The Caverns of Ice, A+N, ᙮ᐊᐤᕆᓐ, ?
aultum, Earth pony, VS+PN, ᐋᓪᑐᒻ, ?
aurin, "university, higher school", {?VS}+N, ᐋᕆᓐ, ?
azha, teacher/processor, N, ᐊᓴ {asha}, ?
cef, "a mess, {a tamed Image of Chaos}", N, ᒉᕝ {chef}, ?
chorı̊ma, pegasus pony, ?N {cho + rı̊/rĩm->rı̊ma}, ᒍᕇᐤᒪ, ?
fĩc, scroll/book, N, ᕖᒃ, ?
fĩm, friendship, N, ᕖᒻ, ?
fosh {/hoss/hosh}, "primitive, {horse}", N, ᕗᔥ, ?
hı̊quae, "alicorn pony, herder of the three", VS+N, ᑭᐤᐧᕾ, ?
hĩrin, unicorn pony, VS+N, ᑮᕆᓐ, ?
hĩrrh, (soul)tribe, N, ᑮᕐ, ?
hnym, "pony, sensible being", N, ᑭᓂᒻ, ?
kapik, cupcake/morsel, N, ᑲᐱᒃ, ?
kor, mess/chaos, N, ᑯᕐ, ?
KorTar, {Tartarus}, N+N, ᑯᕐᑕᕐ, ?
lirĩm, family {poetic}, VS+N, ᓕᕇᒻ, ?
mĩf, magic, N, ᒦᕝ, ?
mĩfifĩm, "harmony, Harmony magic", N'+N, ᒦᕕᕖᒻ, ?
nif/nĩf, night/darkness, N, ᓂᕝ/ᓃᕝ, ?
nim, dream/confusion, N, ᓂᒻ, ?
qurĩm, invocation, VS+N, ᖂᕇᒻ, ?
{qu/qa}tei, fate/purpose, VS+N, {ᖂ/ᖃ}ᑌᐤ, ?
rĩf, freedom, N, ᕆᕝ, ?
rin, logic/reason, N, ᕆᓐ, ?
rin'shi, written word, N, ᕆᓐᐧᔑ, ?
rĩm, harmony/vibe, N, ᕇᒻ, ?
shi, writing/glyph, N, ᔑ, ?
SoMu, Windigoes, N+N, ᙮ᓱ᙮ᒨ, ?
Tai, light/sun, N, ᙮ᑕᐃ, ?
TaiRĩm, sunlight/sunsong, N, ᙮ᑕᐃ᙮ᕇᒻ
Tau, truth/good, N, ᙮ᑖ, ?
Tei, "true Self, oversoul", N, ᙮ᑌᐤ, ?
