RimSyl, EngRĩm, PoS, KinSyl, HĩrShi
alu-, trade/exchange, VS, ᐊᓘ, {貿/替}
ani-, become/change, VS, ᐊᓂ, ?
ari-, freeze/frozen, VS, ᐊᕆ, ?
astauni-, "cheer up / make happy", VS, ᐊᔅᑖᓂ, ?
aul-, look/see, VS, ᐋᓪ, ?
aular-, "attend / pay attention", VS, ᐋᓚᕐ, ?
auni-, grow/mature, VS, ᐋᓂ, ?
aur-, listen/hear, VS, ᐋᕐ, ?
aurĩ-, converse, VS, ᐋᕇ, ?
aurihĩ-, "listen, e.g. to lecture", VS, VS, ᐋᕆᑮ, ?
aya-, reach/attain, VS, ᐊᔭ, ?
ayi-, help/aid, VS, ᐊᔨ, ?
buk-, "buck {colloquial, warning: VERY RUDE in the wrong context}", VS, ᐴᒃ, ?
cho-, gather/harvest, VS, ᒍ, 集
chohĩ-, "rule / govern / keep together", VS, ᒍᑮ, ?
choneli-, "aspire / long for", VS, ᒍᓀᓕ, ?
den-, push/press/?cover, VS, ᑌᓐ, ?
do-, aim/intent/seek, VS, ᑐ, ?
ei'buk-, applebuck {colloquial}, N-VS, ᐁᐤᐧᐴᒃ, ?
eili'buch-, "applebuck {Ei'Lirĩm dialect, elegant}", N'-VS, ᐁᐤᓕᐧᐴᒡ, ?
eli-, "emit, {causative-possessive-link}", VS, ᐁᓕ, ?
eni-, branch/spread, VS, ᐁᓂ, ?
enihĩ-, "reign / cultivate / expand", VS, ᐁᓂᑮ, ?
fe-, can/able, VS, ᕓ, ?
fei-, fade/reduce, VS, ᕓᐤ, ?
feĩ-, join/bring, VS, ᕓᐤ, ?
feire-, "go away / pass away", VS, ᕓᐤᕂ, ?
fi-/fĩ-, bring/attract, VS, ᕕ/ᕖ, ?
hĩ-, herd/guide/lead, VS, ᑮ, ?
komi-, "cause, make (someone do)", VS, ᑯᒥ, ?
kote-, allow/accept, VS, ᑯᑌ, ?
li-, gather/meet, VS, ᓕ, ?
mepa-, plan/arrange, VS, ᒣᐸ, ?
mi-, "do / make happen", VS, ᒥ, ?
mi-, show/display, VS, ᒥ, ?
naĩfe-, "can't / unable", AV, ᓇᐄᕓ, ?
naĩfĩ-, {?anull}, AV, ᓇᐄᕖ, ?
naĩle-, "don't like / don't want", AV, ᓇᐄᓓ, ?
nan-, "east + rise", VS, ᓇᓐ, {?/南}
neli-, want/like, VS, ᓀᓕ, ?
pan-, heat/warm, VS, ᐸᓐ, ?
raini-, {?become complete}, VS, ᕋᐃᓂ, ?
raifĩ-, {?make complete}, VS, ᕋᐃᕖ, ?
re-, go/ride/gallop, VS, ᕂ, ?
redo-, search/seek (a location), VS, ᕂᑐ, ?
"rere, rerere, ...", "ride, gallop, {excitedly} let's go!", VS+VS, "ᕂᕂ, ᕂᕂᕂ, ...", ?
rı̊-, {cho.} recall, VS, ᕇᐤ, ?
rĩcho-, intend, VS, ᕇᒍ, ?
rĩdo-, search/seek (intellectual), VS, ᕇᑐ, ?
rĩfeĩ-, recall/remember, VS, ᕇᕓᐤ, ?
rĩki-, think, VS, ᕇᑭ, ?
rĩteĩyo-, "express (deep, heartfelt)", V+N+V, ᕇᑌᐤᔪ, ?
rĩqu-, speak, VS, ᕇᖂ, ?
riu-, dash/rush, VS, ᕆᐆ, ?
taf-, build/construct/craft, VS, ᑕᕝ, ?
tak-, cut/hammer/puncture, VS, ᑕᒃ, ?
ute-, have/hold, VS, ᐆᑌ, ?
yan-, point/orient, VS, ᔭᓐ, ?
yipan-, cook/bake, A+VS, ᔨᐸᓐ, ?
